best m,c is 1.790000,10.940000 with error 16.132097 in direction 0
best m,c is 1.790000,10.950000 with error 16.128066 in direction 0
best m,c is 1.790000,10.960000 with error 16.124041 in direction 0
best m,c is 1.790000,10.970000 with error 16.120021 in direction 0
best m,c is 1.790000,10.980000 with error 16.116006 in direction 0
best m,c is 1.790000,10.990000 with error 16.111996 in direction 0
best m,c is 1.790000,11.000000 with error 16.107991 in direction 0
best m,c is 1.790000,11.010000 with error 16.103992 in direction 0
best m,c is 1.790000,11.020000 with error 16.099998 in direction 0
best m,c is 1.790000,11.030000 with error 16.096009 in direction 0
best m,c is 1.790000,11.040000 with error 16.092025 in direction 0
best m,c is 1.790000,11.050000 with error 16.088047 in direction 0
best m,c is 1.790000,11.060000 with error 16.084074 in direction 0
best m,c is 1.790000,11.070000 with error 16.080106 in direction 0
best m,c is 1.790000,11.080000 with error 16.076143 in direction 0
best m,c is 1.790000,11.090000 with error 16.072186 in direction 0
best m,c is 1.790000,11.100000 with error 16.068233 in direction 0
best m,c is 1.790000,11.110000 with error 16.064286 in direction 0
best m,c is 1.790000,11.120000 with error 16.060345 in direction 0
best m,c is 1.790000,11.130000 with error 16.056408 in direction 0
best m,c is 1.790000,11.140000 with error 16.052477 in direction 0
best m,c is 1.790000,11.150000 with error 16.048551 in direction 0
best m,c is 1.790000,11.160000 with error 16.044631 in direction 0
best m,c is 1.790000,11.170000 with error 16.040715 in direction 0
best m,c is 1.790000,11.180000 with error 16.036805 in direction 0
best m,c is 1.790000,11.190000 with error 16.032900 in direction 0
best m,c is 1.790000,11.200000 with error 16.029001 in direction 0
best m,c is 1.790000,11.210000 with error 16.025106 in direction 0
best m,c is 1.790000,11.220000 with error 16.021218 in direction 0
best m,c is 1.790000,11.230000 with error 16.017334 in direction 0
best m,c is 1.790000,11.240000 with error 16.013456 in direction 0
best m,c is 1.790000,11.250000 with error 16.009582 in direction 0
best m,c is 1.790000,11.260000 with error 16.005715 in direction 0
best m,c is 1.790000,11.270000 with error 16.001852 in direction 0
best m,c is 1.790000,11.280000 with error 15.997995 in direction 0
best m,c is 1.790000,11.290000 with error 15.994143 in direction 0
best m,c is 1.790000,11.300000 with error 15.990297 in direction 0
best m,c is 1.790000,11.310000 with error 15.986456 in direction 0
best m,c is 1.790000,11.320000 with error 15.982620 in direction 0
best m,c is 1.790000,11.330000 with error 15.978790 in direction 0
best m,c is 1.790000,11.340000 with error 15.974965 in direction 0
best m,c is 1.790000,11.350000 with error 15.971145 in direction 0
best m,c is 1.790000,11.360000 with error 15.967330 in direction 0
best m,c is 1.790000,11.370000 with error 15.963521 in direction 0
best m,c is 1.790000,11.380000 with error 15.959718 in direction 0
best m,c is 1.790000,11.390000 with error 15.955919 in direction 0
best m,c is 1.790000,11.400000 with error 15.952126 in direction 0
best m,c is 1.790000,11.410000 with error 15.948339 in direction 0
best m,c is 1.790000,11.420000 with error 15.944557 in direction 0
best m,c is 1.790000,11.430000 with error 15.940780 in direction 0
best m,c is 1.790000,11.440000 with error 15.937008 in direction 0
best m,c is 1.790000,11.450000 with error 15.933242 in direction 0
best m,c is 1.790000,11.460000 with error 15.929481 in direction 0
best m,c is 1.780000,11.470000 with error 15.925621 in direction 7
best m,c is 1.780000,11.480000 with error 15.921553 in direction 0
best m,c is 1.780000,11.490000 with error 15.917490 in direction 0
best m,c is 1.780000,11.500000 with error 15.913432 in direction 0
best m,c is 1.780000,11.510000 with error 15.909380 in direction 0
best m,c is 1.780000,11.520000 with error 15.905333 in direction 0
best m,c is 1.780000,11.530000 with error 15.901292 in direction 0
best m,c is 1.780000,11.540000 with error 15.897255 in direction 0
best m,c is 1.780000,11.550000 with error 15.893224 in direction 0
best m,c is 1.780000,11.560000 with error 15.889198 in direction 0
best m,c is 1.780000,11.570000 with error 15.885177 in direction 0
best m,c is 1.780000,11.580000 with error 15.881162 in direction 0
